State,Total Population,"Hispanic, regardless 
of race","White, non-Hispanic","Black, non-Hispanic","Asian, non-Hispanic","Native  Hawaiian/
Pacific Islander,
 non-
Hispanic","American Indian/Alaska Native, non-Hispanic","Two or more races, non-Hispanic",
Alabama,"45,000",‡,78.8,18.6,‡,#,‡,0.5,
Alaska,"7,500",‡,85.7,‡,‡,‡,7.4,2.4,
Arizona,"61,700",13.1,80.1,2.8,1.7,‡,1.3,0.9,
Arkansas,"37,700",‡,82.3,13.6,#,#,‡,1.9,
California,"285,500",17.2,70.5,3.2,6.1,0.3,0.2,2.5,
Colorado,"55,900",7.0,88.3,‡,‡,#,‡,1.5,
Connecticut,"44,900",3.4,92.9,2.7,‡,#,#,‡,
Delaware,"9,300",5.7,84.7,9.3,#,#,‡,‡,
District of Columbia,‡,‡,‡,‡,‡,‡,‡,‡,
Florida,‡,‡,‡,‡,‡,‡,‡,‡,
Georgia,"123,300",2.5,76.2,17.1,‡,#,‡,‡,
Hawaii,‡,‡,‡,‡,‡,‡,‡,‡,
Idaho,"16,300",3.1,92.7,#,‡,#,‡,‡,
Illinois,"140,900",7.1,83.3,7.1,1.2,‡,‡,0.9,
Indiana,"64,000",2.7,92.6,4.2,‡,#,‡,‡,
Iowa,"36,100",‡,98.7,#,#,‡,‡,‡,
Kansas,"36,500",1.6,95.3,‡,‡,#,‡,‡,
Kentucky,"46,800",‡,94.5,4.2,‡,‡,#,‡,
Louisiana,"44,500",‡,74.4,19.9,‡,#,‡,1.3,
Maine,"18,400",1.9,97.1,#,‡,#,‡,‡,
Maryland,‡,‡,‡,‡,‡,‡,‡,‡,
Massachusetts,"79,200",1.3,96.6,‡,‡,‡,‡,‡,
Michigan,"96,700",2.1,92.1,4.2,0.7,‡,‡,0.9,
Minnesota,"62,300",1.0,95.3,1.7,1.0,‡,‡,0.9,
Mississippi,"37,600",‡,73.3,25.0,‡,#,#,‡,
Missouri,"68,700",0.6,90.6,6.7,‡,#,‡,1.3,!
Montana,"12,400",‡,95.9,#,‡,‡,‡,1.1,!
Nebraska,"23,900",2.1,96.8,#,‡,#,‡,‡, 
Nevada,"25,200",9.5,80.5,3.6,‡,‡,‡,‡, 
New Hampshire,"15,700",‡,97.8,‡,‡,#,‡,‡, 
New Jersey,"125,200",9.3,82.2,6.6,1.4,#,#,0.5,!
New Mexico,"21,700",36.6,56.7,‡,0.9,‡,3.0,‡, 
New York,"241,400",9.8,76.3,8.6,3.4,‡,‡,1.2,!
North Carolina,"104,300",2.7,84.1,10.4,‡,‡,‡,‡, 
North Dakota,"10,300",‡,96.2,#,‡,‡,‡,‡, 
Ohio,"122,100",1.6,92.6,5.0,0.3,#,#,‡, 
Oklahoma,"46,200",1.1,82.0,3.5,‡,‡,8.6,4.5,!
Oregon,"31,800",5.7,88.6,‡,‡,‡,‡,1.4,!
Pennsylvania,"148,800",2.1,95.7,‡,‡,#,#,‡, 
Rhode Island,‡,‡,‡,‡,‡,‡,‡,‡, 
South Carolina,"51,800",2.1,81.3,15.5,‡,#,#,‡, 
South Dakota,"10,800",‡,98.3,#,‡,#,‡,‡, 
Tennessee,"76,500",2.8,91.3,5.2,‡,#,‡,‡, 
Texas,"350,800",23.1,65.3,9.0,‡,#,‡,‡, 
Utah,"27,900",0.5,97.1,‡,‡,‡,‡,0.6,!
Vermont,"9,400",‡,97.1,‡,‡,#,#,1.1,!
Virginia,"88,500",2.5,85.4,9.7,1.5,#,‡,0.9,!
Washington,"55,500",3.8,87.0,‡,3.6,‡,0.1,3.2,!
West Virginia,"24,200",‡,98.0,‡,#,#,#,‡, 
Wisconsin,"66,800",‡,96.3,‡,‡,‡,‡,‡, 
Wyoming,"8,500",4.8,91.0,‡,‡,#,‡,‡, 
